responsable,institucion_original,institucion_standard,cuidad,cod_postal,direccion,lat,lon,lineas_investigacion,area_clinica,proyecto_descripcion,proyecto_estado,descripcion_kw,ip,ip_nivel,linea_investigacion_caracter_inovador,entidades_finaciodoras,fondos_capital_riesgo,entidades_colaboradoras,ano_inicio,ano_fin,capacidad_trabajo
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,Tele monitorización (pacientes de edad avanzada con insuficiencia cardiaca crónica desde el centro sanitario) ,Patología cardiovasculares,"H@H. Definir un nuevo servicio socio-sanitario domiciliario para pacientes cardiológicos crónicos de edad avanzada. Tele monitorización de parámetros cardiovasculares fisiopatológico y respiratorios, permitiendo un seguimiento clínico a distancia de pacientes desde el centro hospitalario. ",Inactivo,"Telemedicina, Tele monitorización, Insuficiencia Cardiaca Crónica.", CONSORZIO PISA RICERCHE,Alto,Alto,ISCIII / AAL,NO,"HUVR
PISA RICERCHE
Otros",2009,2011,Medio
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,Interoperabilidad en historia clínica electrónica (Mejora de la atención sanitaria de ciudadanos cuando están fuera de su país permitiendo a los profesionales acceder a los datos clínicos del paciente.),Salud internacional,EPSOS. Desarrollar un framework de e Salud y una infraestructura basada en Tecnologías de Comunicación e Información que permita un acceso seguro a la información de salud del paciente. En concreto se realizará un piloto de interoperabilidad a gran escala entre distintos sistemas de salud europeos aplicada a la Receta electrónica y al resumen de Historia del paciente,Inactivo,"e-Salud, Interoperabilidad, receta electrónica y patient sumary",SAS,Alto,Alto,ICT-7PM,NO,"Les Hôpitaux universitaires de Genève
Zentralinstitut für die kassenärztliche Versorgung
Fraunhofergesellschaft zur Foerderung der angewandten Forschung
Instytut Logistyki i Magazynowania
Empirica
Universidade de Aveiro
Aristotelio panepistimio Thessalonikis
Institut für Bewegungswissenschaften und Sport
Kompetansesenter for Informasjonsteknologi I Helsevesenet AS
Yazılım Araştırma & Geliştirme ve Danışmanlık Ticaret Limited Sirketi
Lombardia Informatica S.p.A.
Pharmaxis S.A.
",2008,2011,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"Tele rehabilitación (Plataforma realidad virtual para rehabilitación de pacientes que han sufrido un accidente cerebro vascular, en alta hospitalaria con rehabilitación motora) ",Rehabilitación,"REWIRE. Crear e implementar plataforma de realidad virtual para rehabilitación en domicilio de pacientes dados con alta hospitalaria. Plataforma formada por tres estaciones: plataforma del paciente, plataforma del hospital y plataforma regional.",Activo,"Telemedicina, tele rehabilitación,  Virtual Reality, Accidente cerebro vascular, rehabilitación motora.",Universitá degli Studi di Milano,Alto,Alto,7PM,NO,"Ecole Polytechnique Federale de Lausanne
U. Oxford
Eidgenossische Technische Hochschule Zurich
AB. Acus srl
IAVANTE
Technogym spa
Fundació Privada Barcelona Digital Centre Tecnológic
Neurologische Klinik Universitätsspital Zúrich
Jozef Stefan Institute
HUVR",2011,2014,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"Plataformas tecnológicas, interoperabilidad (Desarrollo de redes regionales de salud y nueva generación de plataformas tecnológicas)",Salud internacional,"PICNIC. Desarrollar nuevos escenarios de atención sanitaria para describir de forma que se pueda presentar tanto a la industria como a otras autoridades sanitarias una imagen de la red regional de servicios sanitarias. Se desarrolla también una arquitectura de sistemas que soporte la interoperabilidad de servicios, y herramientas y componentes comunes para los servicios en una cooperación cercana a la industria",Inactivo,"Plataformas tecnológicas, Interoperabilidad",The Danish Centre for Health Telematics (FUNEN) ,,,5PM,NO,FUNEN; Technical Research Centre of Finland (VTT); South and East Belfast Trust (SEBT); Systems Team;  General Medical Services Board (GMS); North Western Health Board (NWHB); Andalucian Health Service (SAS); European Consulting and Management on Information Technology (ECOMIT); Institute of Computer Science (ICS); University of Ioannina (UOI); Medizinische Netzwerke Gmbh (MN GmbH); National University Hospital of Iceland; Reykjavik Hospital,2000,2003,
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"Ensayo clínico multicentrico internacional, análisis de PK/PD, Impacto ecológico, mecanismos de caracterización de resistencia, pruebas rápidas para detección de microorganismos, prueba rápida de susceptibilidad antimicrobiana",Enfermedades respiratorias,"MagicBullet. Optimizar el tratamiento antibiótico de la neumonía asociada a la ventilación mecánica, una infección muy común en cuidados intensivos, especialmente en países donde el grado de desarrollo de la resistencia microbiana es muy elevado. ",Activo,Ensayo clínico dirigidos por investigadores de antibióticos fuera de patente,Servicio Andaluz de Salud (SAS),Alto,Alto,7PM,NO,"Servicio Andaluz de Salud; Universite Paris-Sud XI; Klinikum der Universitaet zu Koeln; Universita Cattolica del Sacro Cuore; National and Kapodistrian University of Athens; Fundacio Privada Clinic per la Recerca Biomedica; Servizo Galego de Saude; Halotech DNA, SL; Biomedal SL; Consorcio de Apoyo a la Investigacion Biomedica en RED",2012,2014,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"Genetic testing in Europe - network for test development harmonization, validation and standardization of services",Genética,"EUROGENTEST. Pruebas genéticas en Europa: Red para el desarrollo de pruebas genéticas, armonización, validación y estandarización de servicios: La red EUROGENTEST tiene como objetivo el desarrollo de la infraestructura, herramientas,
recursos, directrices y procedimientos necesarios para alcanzar el establecimiento de unos servicios europeos de pruebas genéticas armonizados y de calidad, que puedan interactuar con servicios de otros continentes, servirles como modelo o ayudar a su creación.",Inactivo,RED DE EXCELENCIA,Universidad Católica de Lovaina,Alto,Alto,6PM,NO,"Enthoven Associates Design Consultants NV; Hospitales Universitarios de Ginebra; Hospitales infantiles universitarios del centro de Manchester; Bayerische Julius-Maximilians- Universitaet Wuerzburg; Universidad de Semmelweis; Instituto Internacional de Biología Molecular y Celular; Universidad Charles Praga-2 Escuela de Medicina; Universidad Nacional de Irlanda, Dublín; Centro de Investigación Conjunta; Hospital Oxford Radcliffe de la NHS; Hospital Universitario Infantil Basel; Institut National de la Santé et de la Recherche Médicale; Instituto Casa Sollievo Della Médicale Sofferenza IRCCS; Institut de Pathologie et de Génétique; Universidad de Turku; Lunds Universitet; Medizinische Hochschule Hannover; Instituto de Biologia Molecular e Celular; Centro Médico Universitario de Leiden; Universidad de Warwick; Grupo de Interés en Genética; Istituti Clinici di Perfezionamento-Milan; Grupo de apoyo a pacientes con trastornos de cromosomas poco frecuentes; Instituto de Genética Molecular e Ingeniería genética; Universidad Católica de Santiago de Guayaquil; M.R.C.-Holanda; Waypoint Systems ltd; Consultoría de Gestión e investigación; STAB VIDA, investigaçao e services em ciências biológicas Lda; PhenoSystems SA; Methexis Genomics NV; Chemagen Biopolymer-Technologie Aktiengesellschaft",2005,2010,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"Trans-European cooperation and coordination of genome sequencing and functional genomics of human-pathogenic microorganisms
",Genética,"PATHOGENOMICS. PathoGenoMics supports the establishment of the ERA by:
1.improving the transparency and coherence of national research programmes / programme parts for genome research on pathogenic microorganisms (“pathogenomics”) by means of their tight and sustainable coordination and cooperation stimulating the continual cooperation and exchange of views of the leading funding bodies in the field as well as other relevant stakeholders (scientific associations, industrial associations, innovation agencies, etc.)
2.creating an internal market for pathogenomics with transnational movement/exchange of informations/knowledge, more abundant/mobile human resources, transnational systems for supporting innovation and technology transfer
3.defining a European Research and Training Agenda on pathogenomics as part of a European Research policy.
",Inactivo,RED DE EXCELENCIA,Forschungszentrum Jülich GmbH (Alemania),Alto,Alto,6PM,NO,"Austrian Federal Ministry of Science and Research; The Austrian Science Fund; Academy of Finland; Institut Pasteur; National Agency for Research; Forschungszentrum Jülich  GmbH (FZJ) Project Management Organization Jülich ; Federal Ministry of Education and Resarch; Hungarian Academy of Science; Hungarian Scientific Research Fund
; The Chief Scientist Office Israeli, Ministry of Health; The Science and Technology Foundation, Portugal; Ministry of Higher Education, Science and Technology Slovenia; Ministry of Science and Innovation, Spain

 



 ",2004,2012,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"Evaluar la posible relación entre el riesgo de tumores cerebrales y factores de riesgo medioambientales, incluyendo el uso de tecnologías de comunicación",Oncología,"MOBIKIDS. El objetivo general del proyecto MOBI-Kids consiste en evaluar la posible relación entre el riesgo de tumores cerebrales y factores de riesgo medioambientales, incluyendo el uso de tecnologías de comunicación",Inactivo,"leucemia, tumores cerebrales  ","Fundación CREAL, Barcelona",Alto,Alto,7PM,NO,Monash University Australia; Medical University of Vienna Austria; University of Ottawa Canada ; Association pour la Recherche Epidémiologique dans les Cancers de l'Enfant et de l'Adolescent (ARECEA) France; France Telecom; Ludwig-Maximilians-University Munich Germany; University of Athens Greece; Tata Memorial Hospital  India; Gertner Institute for Epidemiology & Health Policy Research Israel; Università degli Studi di Torino Italy; Tokyo Women’s Medical University Japan; Dankook University College of Medicine Korea; University of Auckland New Zealand; Instituto de Salud Carlos III Spain; Universidad de Huelva Spain; Universidad de Valencia Spain; National Taiwan University College of Public Health Taiwan; Universiteit Utrecht The Netherlands; Health Protection Agency (HPA) UK                 ,2008,2012,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,EUROPEAN MULTICENTRE TICS IN CHILDREN STUDIES,Psiquiatría,"EMTICS. Estudio pre-clínicos para estudiar los factores de susceptibilidad de los tics adolescentes y pediátricos, con especial enfoque en la sintomatología obsesiva-compulsiva comorbida desde los puntos de vista clínicos, epidemiológicos, genéticos, microbiológicos e inmunológicos. Se pretende también trasladar los resultados de investigación en aplicación clínica gracias al desarrollo de modelos de predicción de desarrollo de enfermedades e investigación de estrategia de tratamiento así como establecer una infraestructura pan-europea para el estudio de tic.",Activo,Ensayo clínico,ACADEMISCH ZIEKENHUIS GRONINGEN (NETHERLANDS) ,Alto,Alto,7PM,NO,"UNIVERSITA DEGLI STUDI DI BARI ""ALDO MORO""; UNIVERSITY COLLEGE LONDON; LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN; URWYLER ADRIAN - CYTOLAB; ISTITUTO SUPERIORE DI SANITA; HEALTH PROTECTION AGENCY HPA; TECHNISCHE UNIVERSITAET DRESDEN; DEMOCRITUS UNIVERSITY OF THRACE; ProImmune Limited; NOVARTIS VACCINES AND DIAGNOSTICS S.R.L.; CLALIT HEALTH SERVICES; THE UNIVERSITY OF BIRMINGHAM; UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA; Advanced Practical Diagnostics; QUEEN MARY AND WESTFIELD COLLEGE, UNIVERSITY OF LONDON; UNIVERSITA DEGLI STUDI DI CATANIA; Concentris Research Management GmbH; UNIVERSITAETSKLINIKUM HAMBURG-EPPENDORF; VADASKERT ALAPITVANY A GYERMEKEK LELKI EGESZSEGEERT; UNIVERSITAET ZUERICH; FUNDACIO PRIVADA CLINIC PER A LA RECERCA BIOMEDICA; REGION HOVEDSTADEN; MEDIZINISCHE HOCHSCHULE HANNOVER; GUYS AND ST THOMAS' NHS FOUNDATIONTRUST; Azienda Sanitaria Locale della Provincia di Bari",2011,2016,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,Cerebellar magnetic stimulation: a potential new approach to treat patients with dystonia,Neurología,Cerebellar magnetic stimulation. To  investigate how the induction of long-term synaptic plasticity in the human cerebellum may reduce sustained involuntary muscle contractions in patients with dystonia.,Activo,Cerebellar magnetic stimulation,"Giacomo Koch, IRCCS S. Lucia Foundation, Rome, Italy",Alto,Alto,Jacques and Gloria Gossweiler Foundation  Research grants in the field of Neurology,NO,"Giacomo Koch, IRCCS S. Lucia Foundation, Rome, Italy",2011,2013,Medio
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,RED IBEROAMERICANA SOBRE PNEUMOCYSTOSIS,Enfermedades respiratorias,"IBEROPNEUMOCYSTIS. Establecer una Red Iberoamericana de especialistas en Pneumocystosis, que sirva de referencia en el ámbito Iberoaméricano, y permita ahondar en el conocimiento biológico de Pneumocystis jirovecii, su epidemiología y manifestaciones clínicas en el contexto propio de cada país participante, compartiendo conocimientos y desarrollos biotenológicos existentes. Promover la investigación en esta área hacia la optimización de los tratamientos disponibles y los métodos diagnósticos adaptados a la realidad de cada país, sentando las bases para el desarrollo de proyectos de investigación altamente competitivos tanto sobre las implicaciones clínicas de la infección/colonización por P. jirovecii como sobre su biodiversidad, y posibilitar la secuenciación de su genoma.

",Activo,"Enfermedades infecciosas (bacterianas, virales, fúngicas y parasitarias) ",Servicio Andaluz de Salud (SAS),Alto,Alto,Programa Iberoamericano de Ciencia y Tecnología para el Desarrollo (CYTED),NO,"INSTITUTO DE MEDICINA TROPICAL PEDRO KOURÍ (CUBA); INSTITUTO NACIONAL DE HIGIENE “RAFAEL RANGEL” (Venezuela); CENTRO DE INVESTIGACIÓN Y ESTUDIOS AVANZADOS (Mexico); CENTRO SUPERIOR DE INVESTIGACIÓN EN SALUD PÚBLICA (España); HOSPITAL DE CLÍNICAS DE PORTO ALEGRE, UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL(Brazil); UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL (Brazil);  INSTITUT PASTEUR DE LILLE ET CENTRE INFECTION ET IMMUNITÉ DE LILLE  (Francia); ",2011,2014,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,Clinical relevance of multiple genetic markers in Pneumocystis jirovecii pneumonia (PcP): New high-throughput methodologies for molecular epidemiology and diagnosis,Genética,"FCT. identification of polymorphic genes associated with specific parameters of infection, as well as to establish Pj genetic haplotypes potentially related with increased disease severity, drug resistance or specific geographical locations.",Activo,Molecular epidemiology/diagnosis; Pneumocystis jirovecii pneumonia (PcP); AIDS; Multiple genetic markers,Portugal,Medio,Medio,FCT (Fundacao para a Ciencia e a Tecnologia),NO,Servicio Andaluz de Salud (SAS),2011,2013,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,"COST: European Network for the Study of Gilles de la Tourette Syndrome
",Neurología,"COST. To foster the creation of a pan-European, interdisciplinary scientific network with a goal to promote the study of GTS, improve the standards of care, and educate the public and professionals, combating stigmatisation of affected individuals. Best practice guidelines are going to be set and national projects are going to be unified into a large-scale effort that will uncover the genetic basis of GTS and disentangle the interplay between environment and genetics.

",Activo,neuropsychiatric disorder ,"Dept. of Molecular Biology and Genetics, Democritus University of Thrace, Greece",Alto,Alto,PROGRAMA COST - European Cooperation in Science and Technology,NO,"Medizinische Universität Wien; University Hospital Center, Belgica; Charles University, Republica Checa; Kennedy Center, Dinamarca; Copenhagen University Hospital Hvidovre, Dinamarca; University Hospital of Aarhus, Dinamarca; UPMC/INSERM, Francia; Faculty of Medicine University of Skopje, FYROM; University of Ulm, Alemania; Medical School Hannover, Alemania; Universitätsklinikum Carl Gustav Carus Dresden, Alemania; Klinik für Neurologie der Universität Ulm, Alemania; Sismanoglio Hospital, Grecia; Semmelweis University, Hungría; Vadaskert Child and Adolescent Psychiatry, Hungria; City General Hospital, Cork, Irlanda; Tel Aviv University, Israel; Catania University, Italia; Istituto Ortopedico Galeazzi SpA, Italia; University of Malta; Norwegian Resource Center for AD/HD, Tourette Syndrome and Narcolepsy; Medical University of Warsaw, Polonia; University of Bern, Suiza; Birmingham and Solihull Mental Health NHS Foundation Trust (BSMHFT) [Department of Neuropsychiatry], Uk; 




























",2010,2014,Alto
Hospital Clínico San Carlos,Nodo HUVR-FISEVI,Hospital Universitario Virgen del Rocío,Sevilla,41013,Calle Cardenal Ilundain,37.364881,-5.980603,Collaborative Genomic Studies of Tourette’s Disorder,Genética,TIC genetic. Clinical studies,Activo,neuropsychiatric disorder ,"University Medical Center Groningen, Países Bajos ",Alto,Alto,NIH (subaward from Rutgers State University NJ),NO,"University Medical Center Groningen, Países Bajos ",2012,2014,Alto
Hospital Clínico San Carlos,HUMV (Hospital Universitario Marqués de Valdecilla),Hospital Universitario Marqués de Valdecilla,Santander,39008,Av. Valdecilla,43.457991,-3.828395,Estudio del efecto de la dieta sobre el rendimiento de los niños,Neonatología / pediatría,The Effect of Diet on the Mental Performance of Children,Activo,Proyecto coordinado con 18 participantes,Equipo perteneciene al servicio Pediatría del HUMV,3,SI,UE,NO,"University of Granada, 
2 University of Munich Germany
3 UNILEVER The Netherlands
4 Erasmus University Medical Center The Netherlands
5 University Rovira I Virgili Spain
6 University of Surrey UK
7 University of Pécs Hungary
8 University Degli study di Milano Italy
9 University of Warsaw Poland
10 Birmingham Children’s Hospital UK
11 The Children´s Memorial Health Institute. Warsaw Poland
12 Research Institute Hospital Marqués de Valdecilla, Santander Spain
13 Institute for Market Research, Strategy and Planning Germany
14 Université Libre de Bruxelles Belgium
15 SHS International UK
16 University of Bristol UK
17 GSF National Research Centre, Munich Germany
18 Beta Technology Limited",2008,2013,
Hospital Clínico San Carlos,HUMV (Hospital Universitario Marqués de Valdecilla),Hospital Universitario Marqués de Valdecilla,Santander,39008,Av. Valdecilla,43.457991,-3.828395,"Inflammation – Translational Research and Adaptive
Immunity",Reumatología,"The development of new therapeutic agents against RA and RA-like diseases requires a dynamic interaction between studies in humans and in animal models of disease.
BTCure aims to advance this parallel work and bring it to a new level by recognising (1) the need for recognition of pre-symptomatic and emerging disease in humans; (2) the heterogeneous nature of human RA and RA-like diseases; (3) the need for new alignments between several animal models and the variants of human RA and RA-like disease and (4) the
potentials that an increased understanding of adaptive immunity provides for better
prevention, therapy and eventual cure of RA. With these tools at hand, we will be able to use new  understanding of aetiology and early pathology of human disease for a program aimed at
early and curative treatment of human RA and RA-like diseases",Activo,RA and RA-like diseases ,Equipo perteneciene al servicio de Reumatología del HUMV y al IFIMAV,3,SI,IMI,NO,"UCB,  Karolinska Instititutet, Academisch Ziekenhuis Leiden - LUMC, Universitaet Zuerich, University of Leeds UNIVLEEDS
6 Charité Universitätsmedizin Berlin, Amsterdam Medical University Center AMC,  Medizinische Universitaet Wien MUW, Diakonhjemmet Hospital DIAKON, Imperial College of Science, Technology and
Medicine Imperial, Universitätsklinikum Erlangen, University of Manchester, University of Glasgow, Stichting Katholieke Universiteit, 
CSIC, Foundation for Research and Technology-
Hellas (FORTH), IMBB FORTH, Centre Hospitalo Universitaire Montpellier, National University Of Ireland, Revmatologicky ustav, Fondazione Humanitas Per La Ricerca, Biomedical Sciences Research Center, Alexander Fleming’, Vari Institute, Kings College London, Deutsches Rheuma Forschungszentrum Berlin,  TcLand Expression TCLAND, Bristol Myers Squibb, Janssen Biologics, AstraZeneca, Boehringer Ingelheim, Pfizer, NovoNordisk As, Merck Serono, Phadia, Institut National de la Santé",2011,2016,
